current_url,proposed_url,page_type,source,intent,redirect_status,collision_status,notes
"/","/","Home Page","src/pages/index.astro","หน้าแรกของเว็บไซต์เพื่อความน่าเชื่อถือและการนำทางไปยังบริการต่าง ๆ","KEEP","No Collision",""
"/%E0%B8%88%E0%B8%AD%E0%B9%81%E0%B8%95%E0%B8%81%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%E0%B9%84%E0%B8%AB%E0%B8%A1/","/จอแตกขายได้ไหม/","Condition Page","src/pages/[slug].astro","หน้าคีย์เวิร์ดรับซื้อเฉพาะกลุ่ม: จอแตกขายได้ไหม","KEEP","No Collision",""
"/%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%9A%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B5%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%E0%B9%84%E0%B8%AB%E0%B8%A1/","/ติดบัญชีขายได้ไหม/","Condition Page","src/pages/[slug].astro","หน้าคีย์เวิร์ดรับซื้อเฉพาะกลุ่ม: ติดบัญชีขายได้ไหม","KEEP","No Collision",""
"/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-acer-%E0%B8%82%E0%B8%AD%E0%B8%99%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%99/","/รับซื้อ-acer-ขอนแก่น/","Brand/Model Page","src/pages/[slug].astro","หน้าคีย์เวิร์ดรับซื้อเฉพาะกลุ่ม: รับซื้อ-acer-ขอนแก่น","KEEP","No Collision",""
"/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-asus-%E0%B8%82%E0%B8%AD%E0%B8%99%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%99/","/รับซื้อ-asus-ขอนแก่น/","Brand/Model Page","src/pages/[slug].astro","หน้าคีย์เวิร์ดรับซื้อเฉพาะกลุ่ม: รับซื้อ-asus-ขอนแก่น","KEEP","No Collision",""
"/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-cpu-%E0%B8%82%E0%B8%AD%E0%B8%99%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%99/","/รับซื้อ-cpu-ขอนแก่น/","Brand/Model Page","src/pages/[slug].astro","หน้าคีย์เวิร์ดรับซื้อเฉพาะกลุ่ม: รับซื้อ-cpu-ขอนแก่น","KEEP","No Collision",""
"/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-dell-%E0%B8%82%E0%B8%AD%E0%B8%99%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%99/","/รับซื้อ-dell-ขอนแก่น/","Brand/Model Page","src/pages/[slug].astro","หน้าคีย์เวิร์ดรับซื้อเฉพาะกลุ่ม: รับซื้อ-dell-ขอนแก่น","KEEP","No Collision",""
"/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hp-%E0%B8%82%E0%B8%AD%E0%B8%99%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%99/","/รับซื้อ-hp-ขอนแก่น/","Brand/Model Page","src/pages/[slug].astro","หน้าคีย์เวิร์ดรับซื้อเฉพาะกลุ่ม: รับซื้อ-hp-ขอนแก่น","KEEP","No Collision",""
"/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-ipad-air-%E0%B8%82%E0%B8%AD%E0%B8%99%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%99/","/รับซื้อ-ipad-air-ขอนแก่น/","Brand/Model Page","src/pages/[slug].astro","หน้าคีย์เวิร์ดรับซื้อเฉพาะกลุ่ม: รับซื้อ-ipad-air-ขอนแก่น","KEEP","No Collision",""
"/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-ipad-gen-%E0%B8%82%E0%B8%AD%E0%B8%99%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%99/","/รับซื้อ-ipad-gen-ขอนแก่น/","Brand/Model Page","src/pages/[slug].astro","หน้าคีย์เวิร์ดรับซื้อเฉพาะกลุ่ม: รับซื้อ-ipad-gen-ขอนแก่น","KEEP","No Collision",""
