slug,path,h1,title,category,source
"sony-a6600","/รับซื้อ-sony-a6600-ขอนแก่น/","รับซื้อ Sony A6600 ขอนแก่น","รับซื้อ Sony A6600 ขอนแก่น เช็ก IBIS แบต NP-FZ100 และชัตเตอร์ | WINNER IT","camera","https://www.sony.com/electronics/support/e-mount-body-ilce-6000-series/ilce-6600m/specifications"
"sony-a7-iv","/รับซื้อ-sony-a7-iv-ขอนแก่น/","รับซื้อ Sony A7 IV ขอนแก่น","รับซื้อ Sony A7 IV ขอนแก่น เช็ก Full Frame 33MP ชัตเตอร์และพอร์ต | WINNER IT","camera","https://www.sony.com/electronics/support/e-mount-body-ilce-7-series/ilce-7m4/specifications"
"canon-eos-r","/รับซื้อ-canon-eos-r-ขอนแก่น/","รับซื้อ Canon EOS R ขอนแก่น","รับซื้อ Canon EOS R ขอนแก่น เช็ก Full Frame 30.3MP เมาท์ RF และจอ | WINNER IT","camera","https://global.canon/en/c-museum/product/dslr877.html"
"canon-eos-r10","/รับซื้อ-canon-eos-r10-ขอนแก่น/","รับซื้อ Canon EOS R10 ขอนแก่น","รับซื้อ Canon EOS R10 ขอนแก่น เช็ก APS-C 24.2MP ชัตเตอร์และจอ | WINNER IT","camera","https://global.canon/en/c-museum/product/dslr902.html"
"fujifilm-x-t30","/รับซื้อ-fujifilm-x-t30-ขอนแก่น/","รับซื้อ Fujifilm X-T30 ขอนแก่น","รับซื้อ Fujifilm X-T30 ขอนแก่น เช็ก 26.1MP จอพับและปุ่มหมุน | WINNER IT","camera","https://www.fujifilm-x.com/global/products/cameras/x-t30/"
"fujifilm-x-t4","/รับซื้อ-fujifilm-x-t4-ขอนแก่น/","รับซื้อ Fujifilm X-T4 ขอนแก่น","รับซื้อ Fujifilm X-T4 ขอนแก่น เช็ก IBIS 26.1MP จอหมุนและแบต | WINNER IT","camera","https://www.fujifilm-x.com/th-th/products/cameras/x-t4/"
"fujifilm-x-s10","/รับซื้อ-fujifilm-x-s10-ขอนแก่น/","รับซื้อ Fujifilm X-S10 ขอนแก่น","รับซื้อ Fujifilm X-S10 ขอนแก่น เช็ก IBIS 26.1MP จอหมุนและกริป | WINNER IT","camera","https://www.fujifilm-x.com/global/products/cameras/x-s10/"
"olympus-em10-mark-iii","/รับซื้อ-olympus-em10-mark-iii-ขอนแก่น/","รับซื้อ Olympus OM-D E-M10 Mark III ขอนแก่น","รับซื้อ Olympus OM-D E-M10 Mark III ขอนแก่น เช็ก IBIS 5 แกนและจอ | WINNER IT","camera","https://learnandsupport.getolympus.com/support/e-m10-mark-iii"
"panasonic-gh5","/รับซื้อ-panasonic-gh5-ขอนแก่น/","รับซื้อ Panasonic Lumix GH5 ขอนแก่น","รับซื้อ Panasonic Lumix GH5 ขอนแก่น เช็ก 4K60p IBIS และช่องการ์ดคู่ | WINNER IT","camera","https://help.na.panasonic.com/answers/features-and-specifications-lumix-g-series-dc-gh5/"
"nintendo-switch-lite","/รับซื้อ-nintendo-switch-lite-ขอนแก่น/","รับซื้อ Nintendo Switch Lite ขอนแก่น","รับซื้อ Nintendo Switch Lite ขอนแก่น เช็กจอยติดเครื่อง จอและบัญชี | WINNER IT","game-console","https://www.nintendo.com/us/gaming-systems/switch/tech-specs/"
"xbox-series-x","/รับซื้อ-xbox-series-x-ขอนแก่น/","รับซื้อ Xbox Series X ขอนแก่น","รับซื้อ Xbox Series X ขอนแก่น เช็ก 1TB/2TB Disc-Digital และจอย | WINNER IT","game-console","https://www.xbox.com/en-US/consoles/xbox-series-x"
