slug,path,h1,title,category,brand,source
"lenovo-loq-16","/รับซื้อ-lenovo-loq-16-ขอนแก่น/","รับซื้อ Lenovo LOQ 16 ขอนแก่น","รับซื้อ Lenovo LOQ 16 ขอนแก่น เช็ก 16IRH8 CPU RTX จอ 16 นิ้วและอะแดปเตอร์ | WINNER IT","notebook","lenovo","https://psref.lenovo.com/Product/LOQ/LOQ_16IRH8?tab=spec"
"hp-victus-15","/รับซื้อ-hp-victus-15-ขอนแก่น/","รับซื้อ HP Victus 15 ขอนแก่น","รับซื้อ HP Victus 15 ขอนแก่น เช็ก 15-fa CPU RTX จอ 144Hz และประกัน | WINNER IT","notebook","hp","https://support.hp.com/th-en/document/ish_7704801-7704845-16"
"msi-cyborg-15","/รับซื้อ-msi-cyborg-15-ขอนแก่น/","รับซื้อ MSI Cyborg 15 ขอนแก่น","รับซื้อ MSI Cyborg 15 ขอนแก่น เช็ก A13V CPU RTX 4050/4060 จอ 144Hz | WINNER IT","notebook","msi","https://th.msi.com/Laptop/Cyborg-15-A13VX/Specification"
"msi-thin-15","/รับซื้อ-msi-thin-15-ขอนแก่น/","รับซื้อ MSI Thin 15 ขอนแก่น","รับซื้อ MSI Thin 15 ขอนแก่น เช็ก B13V RTX 4050 จอ 144Hz RAM SSD | WINNER IT","notebook","msi","https://th.msi.com/Laptop/Thin-15-B13VX/Specification"
"iphone-11","/รับซื้อ-iphone-11-ขอนแก่น/","รับซื้อ iPhone 11 ขอนแก่น","รับซื้อ iPhone 11 ขอนแก่น เช็ก 64/128/256GB แบต จอ Face ID และอะไหล่ | WINNER IT","iphone","","https://support.apple.com/en-my/111865"
"iphone-11-pro","/รับซื้อ-iphone-11-pro-ขอนแก่น/","รับซื้อ iPhone 11 Pro ขอนแก่น","รับซื้อ iPhone 11 Pro ขอนแก่น เช็ก 64/256/512GB แบต จอ Face ID และอะไหล่ | WINNER IT","iphone","","https://support.apple.com/en-ie/111879"
"iphone-11-pro-max","/รับซื้อ-iphone-11-pro-max-ขอนแก่น/","รับซื้อ iPhone 11 Pro Max ขอนแก่น","รับซื้อ iPhone 11 Pro Max ขอนแก่น เช็ก 64/256/512GB แบต จอ Face ID และอะไหล่ | WINNER IT","iphone","","https://support.apple.com/en-us/111878"
"iphone-12-mini","/รับซื้อ-iphone-12-mini-ขอนแก่น/","รับซื้อ iPhone 12 mini ขอนแก่น","รับซื้อ iPhone 12 mini ขอนแก่น เช็ก 64/128/256GB แบต จอ Face ID และอะไหล่ | WINNER IT","iphone","","https://support.apple.com/en-euro/111877"
"iphone-12-pro","/รับซื้อ-iphone-12-pro-ขอนแก่น/","รับซื้อ iPhone 12 Pro ขอนแก่น","รับซื้อ iPhone 12 Pro ขอนแก่น เช็ก 128/256/512GB แบต จอ Face ID และอะไหล่ | WINNER IT","iphone","","https://support.apple.com/en-la/111875"
"iphone-13-mini","/รับซื้อ-iphone-13-mini-ขอนแก่น/","รับซื้อ iPhone 13 mini ขอนแก่น","รับซื้อ iPhone 13 mini ขอนแก่น เช็ก 128/256/512GB แบต จอ Face ID และอะไหล่ | WINNER IT","iphone","","https://support.apple.com/en-us/111873"
"ipad-pro-m1-12-9","/รับซื้อ-ipad-pro-m1-12-9-ขอนแก่น/","รับซื้อ iPad Pro M1 12.9-inch ขอนแก่น","รับซื้อ iPad Pro M1 12.9 นิ้ว ขอนแก่น เช็ก mini‑LED 128GB–2TB Cellular และจอ | WINNER IT","ipad-tablet","","https://support.apple.com/en-mide/111896"
"ipad-pro-m2-12-9","/รับซื้อ-ipad-pro-m2-12-9-ขอนแก่น/","รับซื้อ iPad Pro M2 12.9-inch ขอนแก่น","รับซื้อ iPad Pro M2 12.9 นิ้ว ขอนแก่น เช็ก mini‑LED M2 128GB–2TB Cellular | WINNER IT","ipad-tablet","","https://support.apple.com/en-ie/111841"
"rtx-3070-ti","/รับซื้อ-rtx-3070-ti-ขอนแก่น/","รับซื้อ GeForce RTX 3070 Ti ขอนแก่น","รับซื้อ GeForce RTX 3070 Ti ขอนแก่น เช็ก 8GB GDDR6X รุ่นการ์ด พัดลม หัวไฟและประกัน | WINNER IT","gpu","","https://www.nvidia.com/en-us/geforce/graphics-cards/30-series/rtx-3070-3070ti/"
"rtx-3080-ti","/รับซื้อ-rtx-3080-ti-ขอนแก่น/","รับซื้อ GeForce RTX 3080 Ti ขอนแก่น","รับซื้อ GeForce RTX 3080 Ti ขอนแก่น เช็ก 12GB GDDR6X รุ่นการ์ด พัดลม หัวไฟและประกัน | WINNER IT","gpu","","https://www.nvidia.com/en-us/geforce/graphics-cards/30-series/rtx-3080-3080ti/"
"rx-6700-xt","/รับซื้อ-rx-6700-xt-ขอนแก่น/","รับซื้อ Radeon RX 6700 XT ขอนแก่น","รับซื้อ Radeon RX 6700 XT ขอนแก่น เช็ก 12GB GDDR6 รุ่นการ์ด พัดลม หัวไฟและประกัน | WINNER IT","gpu","","https://www.amd.com/en/products/graphics/desktops/radeon/6000-series/amd-radeon-rx-6700-xt.html"
"rx-7600","/รับซื้อ-rx-7600-ขอนแก่น/","รับซื้อ Radeon RX 7600 ขอนแก่น","รับซื้อ Radeon RX 7600 ขอนแก่น เช็ก 8GB GDDR6 รุ่นการ์ด พัดลม หัวไฟและประกัน | WINNER IT","gpu","","https://www.amd.com/en/products/graphics/desktops/radeon/7000-series/amd-radeon-rx-7600.html"
"rx-7700-xt","/รับซื้อ-rx-7700-xt-ขอนแก่น/","รับซื้อ Radeon RX 7700 XT ขอนแก่น","รับซื้อ Radeon RX 7700 XT ขอนแก่น เช็ก 12GB GDDR6 รุ่นการ์ด พัดลม หัวไฟและประกัน | WINNER IT","gpu","","https://www.amd.com/en/products/graphics/desktops/radeon/7000-series/amd-radeon-rx-7700-xt.html"
"rx-7900-xt","/รับซื้อ-rx-7900-xt-ขอนแก่น/","รับซื้อ Radeon RX 7900 XT ขอนแก่น","รับซื้อ Radeon RX 7900 XT ขอนแก่น เช็ก 20GB GDDR6 รุ่นการ์ด พัดลม หัวไฟและประกัน | WINNER IT","gpu","","https://www.amd.com/en/products/graphics/desktops/radeon/7000-series/amd-radeon-rx-7900xt.html"
