slug,path,category,title,source
"sony-a6000","/รับซื้อ-sony-a6000-ขอนแก่น/","camera","รับซื้อ Sony A6000 ขอนแก่น เช็กชัตเตอร์ เซ็นเซอร์ EVF และเลนส์ | WINNER IT","https://www.sony.com/electronics/support/e-mount-body-ilce-6000-series/ilce-6000/specifications"
"sony-a6400","/รับซื้อ-sony-a6400-ขอนแก่น/","camera","รับซื้อ Sony A6400 ขอนแก่น เช็กชัตเตอร์ AF จอพับ และเซ็นเซอร์ | WINNER IT","https://www.sony.com/electronics/support/e-mount-body-ilce-6000-series/ilce-6400/specifications"
"sony-a7-iii","/รับซื้อ-sony-a7-iii-ขอนแก่น/","camera","รับซื้อ Sony A7 III ขอนแก่น เช็กชัตเตอร์ IBIS เซ็นเซอร์และช่องการ์ด | WINNER IT","https://www.sony.com/electronics/support/e-mount-body-ilce-7-series/ilce-7m3m/specifications"
"canon-eos-r6","/รับซื้อ-canon-eos-r6-ขอนแก่น/","camera","รับซื้อ Canon EOS R6 ขอนแก่น เช็กเซ็นเซอร์ IBIS ชัตเตอร์และ Dual SD | WINNER IT","https://www.usa.canon.com/support/p/eos-r6"
"canon-eos-r7","/รับซื้อ-canon-eos-r7-ขอนแก่น/","camera","รับซื้อ Canon EOS R7 ขอนแก่น เช็กเซ็นเซอร์ 32.5MP IBIS และช่อง SD | WINNER IT","https://www.usa.canon.com/support/p/eos-r7"
"fujifilm-x-t5","/รับซื้อ-fujifilm-x-t5-ขอนแก่น/","camera","รับซื้อ Fujifilm X-T5 ขอนแก่น เช็กเซ็นเซอร์ 40.2MP IBIS และชัตเตอร์ | WINNER IT","https://www.fujifilm-x.com/pt-pt/products/cameras/x-t5/specifications/"
"nikon-z5","/รับซื้อ-nikon-z5-ขอนแก่น/","camera","รับซื้อ Nikon Z5 ขอนแก่น เช็กฟูลเฟรม IBIS Dual SD และเมาท์ Z | WINNER IT","https://imaging.nikon.com/imaging/lineup/mirrorless/z_5/index.html"
"playstation-5","/รับซื้อ-playstation-5-ขอนแก่น/","game-console","รับซื้อ PlayStation 5 ขอนแก่น เช็ก CFI รุ่น Disc/Digital SSD และจอย | WINNER IT","https://www.playstation.com/en-us/support/hardware/ps5/"
"playstation-5-slim","/รับซื้อ-playstation-5-slim-ขอนแก่น/","game-console","รับซื้อ PS5 Slim ขอนแก่น เช็ก CFI-2000/2100 Disc Drive และ DualSense | WINNER IT","https://www.playstation.com/en-us/support/hardware/ps5/"
"playstation-4-pro","/รับซื้อ-playstation-4-pro-ขอนแก่น/","game-console","รับซื้อ PS4 Pro ขอนแก่น เช็ก CUH-7000 HDD HDMI ไดรฟ์และจอย | WINNER IT","https://www.playstation.com/th-th/ps4/tech-specs/"
"nintendo-switch","/รับซื้อ-nintendo-switch-ขอนแก่น/","game-console","รับซื้อ Nintendo Switch ขอนแก่น เช็ก HAC-001 Joy-Con Dock และแบต | WINNER IT","https://www.nintendo.com/us/gaming-systems/switch/tech-specs/"
"nintendo-switch-oled","/รับซื้อ-nintendo-switch-oled-ขอนแก่น/","game-console","รับซื้อ Nintendo Switch OLED ขอนแก่น เช็ก HEG-001 จอ OLED Joy-Con Dock | WINNER IT","https://www.nintendo.com/th/hardware/switch/modal/specs/body_oled.html"
"steam-deck","/รับซื้อ-steam-deck-ขอนแก่น/","game-console","รับซื้อ Steam Deck ขอนแก่น แยก LCD/OLED ความจุ SSD จอและแบต | WINNER IT","https://www.steamdeck.com/th/tech/oled"
"rog-ally","/รับซื้อ-rog-ally-ขอนแก่น/","game-console","รับซื้อ ASUS ROG Ally ขอนแก่น แยก Z1/Z1 Extreme จอ 120Hz SSD และ SD Reader | WINNER IT","https://rog.asus.com/us/gaming-handhelds/rog-ally/rog-ally-2023/spec/"
"intel-core-i5-12400f","/รับซื้อ-intel-core-i5-12400f-ขอนแก่น/","computer","รับซื้อ Intel Core i5-12400F ขอนแก่น เช็กขา LGA1700 กล่องและประกัน | WINNER IT","https://www.thailand.intel.com/content/www/th/th/products/sku/134587/intel-core-i512400f-processor-18m-cache-up-to-4-40-ghz/specifications.html"
"intel-core-i5-13400f","/รับซื้อ-intel-core-i5-13400f-ขอนแก่น/","computer","รับซื้อ Intel Core i5-13400F ขอนแก่น 10C/16T เช็ก LGA1700 และผลเทส | WINNER IT","https://www.intel.com/content/www/us/en/products/sku/230501/intel-core-i513400f-processor-20m-cache-up-to-4-60-ghz/specifications.html"
"intel-core-i5-14400f","/รับซื้อ-intel-core-i5-14400f-ขอนแก่น/","computer","รับซื้อ Intel Core i5-14400F ขอนแก่น 10C/16T เช็กประกันและผลเทส | WINNER IT","https://www.intel.com/content/www/us/en/products/sku/236777/intel-core-i5-processor-14400f-20m-cache-up-to-4-70-ghz/specifications.html"
"intel-core-i7-12700","/รับซื้อ-intel-core-i7-12700-ขอนแก่น/","computer","รับซื้อ Intel Core i7-12700 ขอนแก่น 12C/20T มี UHD 770 เช็กผลเทส | WINNER IT","https://www.intel.com/content/www/us/en/products/sku/134591/intel-core-i712700-processor-25m-cache-up-to-4-90-ghz/specifications.html"
"intel-core-i7-13700","/รับซื้อ-intel-core-i7-13700-ขอนแก่น/","computer","รับซื้อ Intel Core i7-13700 ขอนแก่น 16C/24T UHD 770 เช็ก LGA1700 | WINNER IT","https://www.intel.com/content/www/us/en/products/sku/230490/intel-core-i713700-processor-30m-cache-up-to-5-20-ghz/specifications.html"
"amd-ryzen-5-5600","/รับซื้อ-amd-ryzen-5-5600-ขอนแก่น/","computer","รับซื้อ AMD Ryzen 5 5600 ขอนแก่น AM4 6C/12T เช็กขา CPU และผลเทส | WINNER IT","https://www.amd.com/en/support/downloads/drivers.html/processors/ryzen/ryzen-5000-series/amd-ryzen-5-5600.html"
"amd-ryzen-5-7500f","/รับซื้อ-amd-ryzen-5-7500f-ขอนแก่น/","computer","รับซื้อ AMD Ryzen 5 7500F ขอนแก่น AM5 6C/12T เช็ก contact และผลเทส | WINNER IT","https://www.amd.com/content/dam/amd/en/documents/partner-hub/ryzen/amd-consumer-pocket-guide-ryzen-radeon-july-2024.pdf"
"amd-ryzen-7-7800x3d","/รับซื้อ-amd-ryzen-7-7800x3d-ขอนแก่น/","computer","รับซื้อ AMD Ryzen 7 7800X3D ขอนแก่น AM5 8C/16T เช็กผลเทสและ IHS | WINNER IT","https://www.amd.com/en/products/processors/desktops/ryzen/7000-series/amd-ryzen-7-7800x3d.html"
