slug,path,category,h1,title,source
"notebook-hinge-broken","/รับซื้อโน้ตบุ๊กบานพับแตก-ขอนแก่น/","notebook","รับซื้อโน้ตบุ๊กบานพับแตก ขอนแก่น","รับซื้อโน้ตบุ๊กบานพับแตก ขอนแก่น ประเมินฝา บอดี้ จอ และสายแพ | WINNER IT","https://support.lenovo.com/th/th/solutions/ht104148-customer-induced-damage-cid-guide-laptops-and-desktops"
"notebook-keyboard-broken","/รับซื้อโน้ตบุ๊กคีย์บอร์ดเสีย-ขอนแก่น/","notebook","รับซื้อโน้ตบุ๊กคีย์บอร์ดเสีย ขอนแก่น","รับซื้อโน้ตบุ๊กคีย์บอร์ดเสีย ขอนแก่น เช็กปุ่ม แบ็กไลต์ และร่องรอยน้ำ | WINNER IT","https://support.microsoft.com/th-TH/Windows/Hardware/input-devices/mouse-and-keyboard-problems-in-windows"
"notebook-battery-degraded","/รับซื้อโน้ตบุ๊กแบตเสื่อม-ขอนแก่น/","notebook","รับซื้อโน้ตบุ๊กแบตเสื่อม ขอนแก่น","รับซื้อโน้ตบุ๊กแบตเสื่อม ขอนแก่น เช็กสุขภาพแบต บวม และอะแดปเตอร์ | WINNER IT","https://www.dell.com/support/kbdoc/en-th/000128491/swollen-battery-information-and-guidance"
"notebook-water-damage","/รับซื้อโน้ตบุ๊กโดนน้ำ-ขอนแก่น/","notebook","รับซื้อโน้ตบุ๊กโดนน้ำ ขอนแก่น","รับซื้อโน้ตบุ๊กโดนน้ำ ขอนแก่น ประเมินอาการเปิดติด คราบ และประวัติซ่อม | WINNER IT","https://www.dell.com/support/kbdoc/en-th/000332239/types-of-damages-not-covered-by-dell-basic-support"
"notebook-gpu-fault","/รับซื้อโน้ตบุ๊กการ์ดจอเสีย-ขอนแก่น/","notebook","รับซื้อโน้ตบุ๊กการ์ดจอเสีย ขอนแก่น","รับซื้อโน้ตบุ๊กการ์ดจอเสีย ขอนแก่น จอดับ ภาพแตก GPU หายยังประเมินได้ | WINNER IT","https://www.asus.com/us/support/faq/1015072/"
"macbook-screen-lines","/รับซื้อmacbook-จอเป็นเส้น-ขอนแก่น/","macbook","รับซื้อ MacBook จอเป็นเส้น ขอนแก่น","รับซื้อ MacBook จอเป็นเส้น ขอนแก่น เช็กจอใน จอนอก และรอยกด | WINNER IT","https://support.apple.com/th-th/mac-laptops/repair?services=service"
"macbook-keyboard-fault","/รับซื้อmacbook-คีย์บอร์ดเสีย-ขอนแก่น/","macbook","รับซื้อ MacBook คีย์บอร์ดเสีย ขอนแก่น","รับซื้อ MacBook คีย์บอร์ดเสีย ขอนแก่น ปุ่มไม่ติด แบ็กไลต์มีปัญหา | WINNER IT","https://support.apple.com/th-th/mac-laptops/repair?services=service"
"macbook-battery-service","/รับซื้อmacbook-แบตเสื่อม-ขอนแก่น/","macbook","รับซื้อ MacBook แบตเสื่อม ขอนแก่น","รับซื้อ MacBook แบตเสื่อม ขอนแก่น เช็ก Battery Health และ Cycle Count | WINNER IT","https://support.apple.com/th-th/108376"
"macbook-dented","/รับซื้อmacbook-มีรอยบุบ-ขอนแก่น/","macbook","รับซื้อ MacBook มีรอยบุบ ขอนแก่น","รับซื้อ MacBook มีรอยบุบ ขอนแก่น เช็กฝา มุม พอร์ต และจอ | WINNER IT","https://support.apple.com/th-th/mac-laptops/repair?services=service"
"iphone-screen-cracked","/รับซื้อiphone-จอแตก-ขอนแก่น/","iphone","รับซื้อ iPhone จอแตก ขอนแก่น","รับซื้อ iPhone จอแตก ขอนแก่น เช็กทัช Face ID และจอแท้/เปลี่ยน | WINNER IT","https://support.apple.com/th-th/iphone/repair/screen-replacement"
"iphone-back-glass-cracked","/รับซื้อiphone-ฝาหลังแตก-ขอนแก่น/","iphone","รับซื้อ iPhone ฝาหลังแตก ขอนแก่น","รับซื้อ iPhone ฝาหลังแตก ขอนแก่น เช็กกล้อง ชาร์จไร้สาย และบอดี้ | WINNER IT","https://support.apple.com/iphone/repair"
"iphone-battery-low","/รับซื้อiphone-แบตต่ำ-ขอนแก่น/","iphone","รับซื้อ iPhone แบตต่ำ ขอนแก่น","รับซื้อ iPhone แบตต่ำ ขอนแก่น เช็ก Battery Health และประวัติเปลี่ยนแบต | WINNER IT","https://support.apple.com/th-th/101575"
"iphone-camera-fault","/รับซื้อiphone-กล้องเสีย-ขอนแก่น/","iphone","รับซื้อ iPhone กล้องเสีย ขอนแก่น","รับซื้อ iPhone กล้องเสีย ขอนแก่น โฟกัสไม่ได้ สั่น หรือเลนส์มีปัญหา | WINNER IT","https://support.apple.com/en-asia/103259"
"ipad-bent","/รับซื้อipad-เครื่องงอ-ขอนแก่น/","ipad-tablet","รับซื้อ iPad เครื่องงอ ขอนแก่น","รับซื้อ iPad เครื่องงอ ขอนแก่น เช็กจอ บอดี้ พอร์ต และ Apple Pencil | WINNER IT","https://support.apple.com/ipad/repair"
"ipad-screen-cracked","/รับซื้อipad-จอแตก-ขอนแก่น/","ipad-tablet","รับซื้อ iPad จอแตก ขอนแก่น","รับซื้อ iPad จอแตก ขอนแก่น เช็กทัช LCD Face ID และ Apple Pencil | WINNER IT","https://support.apple.com/ipad/repair"
"ipad-battery-degraded","/รับซื้อipad-แบตเสื่อม-ขอนแก่น/","ipad-tablet","รับซื้อ iPad แบตเสื่อม ขอนแก่น","รับซื้อ iPad แบตเสื่อม ขอนแก่น เช็ก Battery Health การชาร์จ และอาการบวม | WINNER IT","https://support.apple.com/ipad/repair"
"gpu-no-display","/รับซื้อการ์ดจอไม่แสดงภาพ-ขอนแก่น/","gpu","รับซื้อการ์ดจอไม่แสดงภาพ ขอนแก่น","รับซื้อการ์ดจอไม่แสดงภาพ ขอนแก่น เช็กไฟ พอร์ต GPU และผลทดสอบ | WINNER IT","https://www.asus.com/us/support/faq/1016113/"
"gpu-artifact","/รับซื้อการ์ดจอภาพแตก-artifact-ขอนแก่น/","gpu","รับซื้อการ์ดจอภาพแตก Artifact ขอนแก่น","รับซื้อการ์ดจอภาพแตก Artifact ขอนแก่น เช็ก Driver VRAM อุณหภูมิและ BIOS | WINNER IT","https://www.asus.com/us/support/faq/1016113/"
"gpu-fan-noisy","/รับซื้อการ์ดจอพัดลมดัง-ขอนแก่น/","gpu","รับซื้อการ์ดจอพัดลมดัง ขอนแก่น","รับซื้อการ์ดจอพัดลมดัง ขอนแก่น เช็ก Bearing 0dB อุณหภูมิและประกัน | WINNER IT","https://www.asus.com/th/support/faq/1056058/"
"camera-fungus","/รับซื้อกล้องหรือเลนส์มีรา-ขอนแก่น/","camera","รับซื้อกล้องหรือเลนส์มีรา ขอนแก่น","รับซื้อกล้องหรือเลนส์มีรา ขอนแก่น เช็กตำแหน่งรา ฝ้า และผลต่อภาพ | WINNER IT","https://www.nikonimgsupport.com/eu/BV_article?articleNo=000046678&configured=1&lang=en_GB&setRedirect=true"
"camera-shutter-high","/รับซื้อกล้องชัตเตอร์สูง-ขอนแก่น/","camera","รับซื้อกล้องชัตเตอร์สูง ขอนแก่น","รับซื้อกล้องชัตเตอร์สูง ขอนแก่น เช็ก Shutter Count และสภาพกลไก | WINNER IT","https://www.nikonimgsupport.com/eu/BV_article?articleNo=000044853&ctry=IL&lang=en_GB"
"monitor-dead-pixel","/รับซื้อจอคอมมี-dead-pixel-ขอนแก่น/","monitor","รับซื้อจอคอมมี Dead Pixel ขอนแก่น","รับซื้อจอคอมมี Dead Pixel ขอนแก่น เช็ก Bright/Dark Pixel และประกัน | WINNER IT","https://www.dell.com/support/kbdoc/en-us/000126004/dell-display-pixel-guidelines"
"monitor-lines","/รับซื้อจอคอมมีเส้น-ขอนแก่น/","monitor","รับซื้อจอคอมมีเส้น ขอนแก่น","รับซื้อจอคอมมีเส้น ขอนแก่น เช็ก Panel สายภาพ Self-Test และพอร์ต | WINNER IT","https://dl.dell.com/manuals/all-products/esuprt_electronics_accessories/esuprt_electronics_accessories_monitor/esuprt_monitor_p_series/dell-p2719h-monitor_user%27s-guide4_en-us.pdf"
"console-no-power","/รับซื้อเครื่องเกมเปิดไม่ติด-ขอนแก่น/","game-console","รับซื้อเครื่องเกมเปิดไม่ติด ขอนแก่น","รับซื้อเครื่องเกมเปิดไม่ติด ขอนแก่น PS5 Switch และ Console มีอาการยังประเมินได้ | WINNER IT","https://www.playstation.com/en-us/support/hardware/ps5-power-issues/"
