slug,path,h1,title,price_intent,categories,source
"วิธีเช็กประกันโน้ตบุ๊ก","/บทความ/วิธีเช็กประกันโน้ตบุ๊ก/","วิธีเช็กประกันโน้ตบุ๊กก่อนขายให้ข้อมูลตรง","วิธีเช็กประกันโน้ตบุ๊กก่อนขาย ดูวันหมดประกันจาก Serial อย่างไร | WINNER IT","true","notebook","https://www.asus.com/support/faq/1041323/"
"โน้ตบุ๊กมีรอยบุบขายได้ไหม","/บทความ/โน้ตบุ๊กมีรอยบุบขายได้ไหม/","โน้ตบุ๊กมีรอยบุบขายได้ไหม ต้องเช็กอะไรบ้าง","โน้ตบุ๊กมีรอยบุบยังขายได้ไหม? เช็กว่าบุบแค่ฝาหรือกระทบโครง | WINNER IT","true","notebook","https://www.dell.com/support/kbdoc/en-th/000332239/types-of-damages-not-covered-by-dell-basic-support?lang=en"
"โน้ตบุ๊กจอมีเส้นราคาตกแค่ไหน","/บทความ/โน้ตบุ๊กจอมีเส้นราคาตกแค่ไหน/","โน้ตบุ๊กจอมีเส้นมีผลต่อราคาอย่างไร","โน้ตบุ๊กจอมีเส้น มีผลต่อราคาอย่างไร? แยก Panel กับ GPU ก่อนประเมิน | WINNER IT","true","notebook","https://www.dell.com/support/kbdoc/en-us/000123759/dell-notebook-phone-or-tablet-cracked-or-broken-lcd-screen-options-and-procedures"
"วิธีเช็ก-battery-health-macbook","/บทความ/วิธีเช็ก-battery-health-macbook/","วิธีเช็ก Battery Health ของ MacBook ก่อนขาย","วิธีเช็ก Battery Health MacBook ก่อนขาย ดู Normal หรือ Service Recommended | WINNER IT","true","macbook","https://support.apple.com/en-ie/108376"
"macbook-คีย์บอร์ดอังกฤษขายได้ไหม","/บทความ/macbook-คีย์บอร์ดอังกฤษขายได้ไหม/","MacBook คีย์บอร์ดอังกฤษขายได้ไหม","MacBook คีย์บอร์ดอังกฤษขายได้ไหม? เช็ก Layout ก่อนประเมิน | WINNER IT","true","macbook","https://support.apple.com/guide/mac-help/change-input-sources-settings-mchl84525d76/mac"
"macbook-จอเป็นรอยประเมินยังไง","/บทความ/macbook-จอเป็นรอยประเมินยังไง/","MacBook จอเป็นรอยประเมินอย่างไร","MacBook จอเป็นรอยประเมินอย่างไร แยกรอยเคลือบ รอยขีด และพิกเซล | WINNER IT","true","macbook","https://support.apple.com/en-gb/guide/mac-help/mchlp2657/mac"
"iphone-ไม่มีกล่องราคาตกไหม","/บทความ/iphone-ไม่มีกล่องราคาตกไหม/","iPhone ไม่มีกล่องราคาตกไหม","iPhone ไม่มีกล่องราคาตกไหม? ใช้อะไรยืนยันรุ่นและความจุแทน | WINNER IT","true","iphone","https://support.apple.com/th-th/106343"
"apple-pencil-เพิ่มราคาขาย-ipadไหม","/บทความ/apple-pencil-เพิ่มราคาขาย-ipadไหม/","Apple Pencil ช่วยเพิ่มมูลค่า iPad มือสองไหม","Apple Pencil ช่วยเพิ่มมูลค่า iPad มือสองไหม? เช็กรุ่นให้ตรงก่อนขาย | WINNER IT","true","ipad-tablet","https://support.apple.com/th-th/guide/ipad/ipad47ee2e98/ipados"
"ขายคอมประกอบต้องส่งข้อมูลอะไร","/บทความ/ขายคอมประกอบต้องส่งข้อมูลอะไร/","ขายคอมประกอบต้องส่งข้อมูลอะไรบ้าง","ขายคอมประกอบต้องส่งข้อมูลอะไร? เช็กลิสต์ CPU GPU RAM SSD PSU | WINNER IT","false","computer","https://support.microsoft.com/en-us/windows/experience/find-information-about-your-windows-device"
"ขายคอมทั้งชุดพร้อมจอคุ้มไหม","/บทความ/ขายคอมทั้งชุดพร้อมจอคุ้มไหม/","ขายคอมทั้งชุดพร้อมจอคุ้มไหม","ขายคอมทั้งชุดพร้อมจอคุ้มไหม? เทียบราคาชุดกับแยกประเมิน | WINNER IT","true","computer|monitor","https://support.microsoft.com/en-us/windows/experience/find-information-about-your-windows-device"
"ชุดน้ำมีผลต่อราคาคอมมือสองไหม","/บทความ/ชุดน้ำมีผลต่อราคาคอมมือสองไหม/","ชุดน้ำมีผลต่อราคาคอมมือสองไหม","ชุดน้ำ AIO มีผลต่อราคาคอมมือสองไหม? เช็กปั๊ม เสียง และอายุก่อนขาย | WINNER IT","true","computer","https://www.corsair.com/us/en/explorer/diy-builder/cpu-coolers/do-i-need-to-maintain-an-aio/"
"วิธีดูรุ่นการ์ดจอใน-windows","/บทความ/วิธีดูรุ่นการ์ดจอใน-windows/","วิธีดูรุ่นการ์ดจอใน Windows ก่อนขาย","วิธีดูรุ่นการ์ดจอใน Windows ก่อนขาย ดู GPU ให้ตรงไม่สับสน iGPU | WINNER IT","false","gpu|computer","https://www.nvidia.com/en-us/drivers/"
"การ์ดจอขุดเหมืองขายได้ไหม","/บทความ/การ์ดจอขุดเหมืองขายได้ไหม/","การ์ดจอเคยขุดเหมืองขายได้ไหม","การ์ดจอเคยขุดเหมืองขายได้ไหม? ประเมินจากสภาพปัจจุบันไม่ใช่ประวัติอย่างเดียว | WINNER IT","true","gpu","https://www.nvidia.com/en-us/geforce/drivers/"
"วิธีเทสการ์ดจอก่อนขาย","/บทความ/วิธีเทสการ์ดจอก่อนขาย/","วิธีทดสอบการ์ดจอก่อนขายอย่างปลอดภัย","วิธีทดสอบการ์ดจอก่อนขาย เช็กภาพ พอร์ต พัดลม อุณหภูมิ และเสถียรภาพ | WINNER IT","false","gpu|computer","https://www.nvidia.com/en-us/drivers/"
