slug,path,area,distance_km,corridor,categories,h1,title,sources
"sam-sung","/รับซื้อไอที-ซำสูง/","ซำสูง","39","โซนตะวันออกเฉียงเหนือใกล้เมือง เชื่อมกระนวนและน้ำพอง","notebook|computer|smartphone|monitor|bulk-buyout","รับซื้อสินค้าไอที ซำสูง ขอนแก่น นัดรับตามรอบพื้นที่","รับซื้อสินค้าไอที ซำสูง ขอนแก่น นัดรับตามรอบ | WINNER IT","https://khonkaen.go.th/khonkaen6/inc/t_journey.php|https://khonkaen.go.th/khonkaen6/inc/data_struct.inc.php"
"non-sila","/รับซื้อไอที-โนนศิลา/","โนนศิลา","58","โซนใต้ตามแนวมิตรภาพ เชื่อมบ้านแฮด บ้านไผ่ และเมืองพล","notebook|computer|monitor|smartphone|bulk-buyout","รับซื้อสินค้าไอที โนนศิลา ขอนแก่น นัดรับตามรอบพื้นที่","รับซื้อสินค้าไอที โนนศิลา ขอนแก่น นัดรับตามรอบ | WINNER IT","https://khonkaen.go.th/khonkaen6/inc/t_journey.php|https://khonkaen.go.th/khonkaen6/inc/data_struct.inc.php"
"waeng-yai","/รับซื้อไอที-แวงใหญ่/","แวงใหญ่","72","โซนใต้ตอนล่าง เชื่อมเมืองพล ชนบท และกลุ่มอำเภอแวง","notebook|computer|smartphone|ipad-tablet|bulk-buyout","รับซื้อสินค้าไอที แวงใหญ่ ขอนแก่น นัดรับตามรอบพื้นที่","รับซื้อสินค้าไอที แวงใหญ่ ขอนแก่น นัดรับตามรอบ | WINNER IT","https://khonkaen.go.th/khonkaen6/inc/t_journey.php|https://khonkaen.go.th/khonkaen6/inc/data_struct.inc.php"
"khok-pho-chai","/รับซื้อไอที-โคกโพธิ์ไชย/","โคกโพธิ์ไชย","75","โซนตะวันตกเฉียงใต้ เชื่อมบ้านไผ่ มัญจาคีรี และเปือยน้อย","notebook|computer|smartphone|monitor|bulk-buyout","รับซื้อสินค้าไอที โคกโพธิ์ไชย ขอนแก่น นัดรับตามรอบพื้นที่","รับซื้อสินค้าไอที โคกโพธิ์ไชย ขอนแก่น นัดรับตามรอบ | WINNER IT","https://khonkaen.go.th/khonkaen6/inc/t_journey.php|https://khonkaen.go.th/khonkaen6/inc/data_struct.inc.php"
"pueai-noi","/รับซื้อไอที-เปือยน้อย/","เปือยน้อย","80","โซนตะวันออกเฉียงใต้ เชื่อมบ้านไผ่ โคกโพธิ์ไชย และเมืองพล","notebook|computer|smartphone|camera|bulk-buyout","รับซื้อสินค้าไอที เปือยน้อย ขอนแก่น นัดรับตามรอบพื้นที่","รับซื้อสินค้าไอที เปือยน้อย ขอนแก่น นัดรับตามรอบ | WINNER IT","https://khonkaen.go.th/khonkaen6/inc/t_journey.php|https://khonkaen.go.th/khonkaen6/inc/data_struct.inc.php"
"nong-na-kham","/รับซื้อไอที-หนองนาคำ/","หนองนาคำ","80","โซนตะวันตกเฉียงเหนือ เชื่อมภูเวียง เวียงเก่า และกลุ่มกระนวนตามการจัดรอบ","notebook|computer|smartphone|camera|bulk-buyout","รับซื้อสินค้าไอที หนองนาคำ ขอนแก่น นัดรับตามรอบพื้นที่","รับซื้อสินค้าไอที หนองนาคำ ขอนแก่น นัดรับตามรอบ | WINNER IT","https://khonkaen.go.th/khonkaen6/inc/t_journey.php|https://khonkaen.go.th/khonkaen6/inc/data_struct.inc.php"
"waeng-noi","/รับซื้อไอที-แวงน้อย/","แวงน้อย","96","โซนใต้ตอนล่าง เชื่อมเมืองพล แวงใหญ่ และหนองสองห้อง","notebook|computer|smartphone|ipad-tablet|bulk-buyout","รับซื้อสินค้าไอที แวงน้อย ขอนแก่น นัดรับตามรอบพื้นที่","รับซื้อสินค้าไอที แวงน้อย ขอนแก่น นัดรับตามรอบ | WINNER IT","https://khonkaen.go.th/khonkaen6/inc/t_journey.php|https://khonkaen.go.th/khonkaen6/inc/data_struct.inc.php"
"nong-song-hong","/รับซื้อไอที-หนองสองห้อง/","หนองสองห้อง","96","โซนตะวันออกเฉียงใต้ตอนล่าง เชื่อมเมืองพลและกลุ่มแวง","notebook|computer|monitor|smartphone|bulk-buyout","รับซื้อสินค้าไอที หนองสองห้อง ขอนแก่น นัดรับตามรอบพื้นที่","รับซื้อสินค้าไอที หนองสองห้อง ขอนแก่น นัดรับตามรอบ | WINNER IT","https://khonkaen.go.th/khonkaen6/inc/t_journey.php|https://khonkaen.go.th/khonkaen6/inc/data_struct.inc.php"
"phu-pha-man","/รับซื้อไอที-ภูผาม่าน/","ภูผาม่าน","109","โซนตะวันตกไกล เชื่อมชุมแพและสีชมพู","notebook|computer|smartphone|camera|bulk-buyout","รับซื้อสินค้าไอที ภูผาม่าน ขอนแก่น นัดรับตามรอบพื้นที่","รับซื้อสินค้าไอที ภูผาม่าน ขอนแก่น นัดรับตามรอบ | WINNER IT","https://khonkaen.go.th/khonkaen6/inc/t_journey.php|https://khonkaen.go.th/khonkaen6/inc/data_struct.inc.php"
"si-chomphu","/รับซื้อไอที-สีชมพู/","สีชมพู","114","โซนตะวันตกเฉียงเหนือไกล เชื่อมชุมแพและภูผาม่าน","notebook|computer|smartphone|camera|bulk-buyout","รับซื้อสินค้าไอที สีชมพู ขอนแก่น นัดรับตามรอบพื้นที่","รับซื้อสินค้าไอที สีชมพู ขอนแก่น นัดรับตามรอบ | WINNER IT","https://khonkaen.go.th/khonkaen6/inc/t_journey.php|https://khonkaen.go.th/khonkaen6/inc/data_struct.inc.php"
"wiang-kao","/รับซื้อไอที-เวียงเก่า/","เวียงเก่า","NOT_LISTED","กลุ่มภูเวียง–เวียงเก่า และเส้นทางตะวันตกของจังหวัด","notebook|computer|smartphone|camera|bulk-buyout","รับซื้อสินค้าไอที เวียงเก่า ขอนแก่น นัดรับตามรอบพื้นที่","รับซื้อสินค้าไอที เวียงเก่า ขอนแก่น นัดรับตามรอบ | WINNER IT","https://khonkaen.go.th/khonkaen6/inc/t_journey.php|https://khonkaen.go.th/khonkaen6/inc/data_struct.inc.php|https://www.khonkaen.go.th/khonkaen6/detailmanage.php?id=4134"
