id,type,cluster,label,path,lifecycle,decision,target,reason
"hub-products","hub","master-product","สินค้าที่รับซื้อ","/สินค้าที่รับซื้อ/","INDEX","RELEASE","","Master product hub is structurally useful and can consolidate discovery across live money categories. Release only after dedicated hub copy and live-child QA."
"hub-brands-models","hub","master-model","ยี่ห้อและรุ่นที่รับซื้อ","/ยี่ห้อและรุ่นที่รับซื้อ/","INDEX","RELEASE","","Brand/model directory is a strong discovery hub for the 132 live model pages. Release only after a non-thin directory experience and crawl QA."
"model-asus-rog-scar-16","model","notebook-asus","ASUS ROG Strix SCAR 16","/รับซื้อ-asus-rog-scar-16-ขอนแก่น/","INDEX","RELEASE","","Distinct high-value gaming series with clear 16-inch intent; requires generation/model-code handling before release."
"model-asus-rog-scar-18","model","notebook-asus","ASUS ROG Strix SCAR 18","/รับซื้อ-asus-rog-scar-18-ขอนแก่น/","INDEX","RELEASE","","Distinct 18-inch SCAR intent and valuation workflow; suitable for dedicated content."
"model-asus-tuf-gaming-f15","model","notebook-asus","ASUS TUF Gaming F15","/รับซื้อ-asus-tuf-gaming-f15-ขอนแก่น/","INDEX","RELEASE","","Intel-oriented TUF F15 family has clear seller intent separate from the live A15/A16 pages."
"model-lenovo-legion-5i","model","notebook-lenovo","Lenovo Legion 5i","/รับซื้อ-lenovo-legion-5i-ขอนแก่น/","INDEX","RELEASE","","Intel Legion 5i is distinguishable from Legion 5 when content explicitly requests generation and machine type/model code."
"model-lenovo-legion-7","model","notebook-lenovo","Lenovo Legion 7","/รับซื้อ-lenovo-legion-7-ขอนแก่น/","HOLD_NOINDEX","KEEP_HOLD","","Series name spans materially different generations/configurations; define generation ownership before creating another broad Legion landing page."
"model-lenovo-legion-pro-7","model","notebook-lenovo","Lenovo Legion Pro 7","/รับซื้อ-lenovo-legion-pro-7-ขอนแก่น/","INDEX","RELEASE","","Higher-tier Pro 7 intent is distinct from live Legion Pro 5 and can support dedicated inspection/content."
"model-lenovo-loq-16","model","notebook-lenovo","Lenovo LOQ 16","/รับซื้อ-lenovo-loq-16-ขอนแก่น/","INDEX","RELEASE","","16-inch LOQ intent is distinguishable from the live LOQ 15 page and can be written around exact MTM/model code."
"model-lenovo-ideapad-slim-5","model","notebook-lenovo","Lenovo IdeaPad Slim 5","/รับซื้อ-lenovo-ideapad-slim-5-ขอนแก่น/","HOLD_NOINDEX","KEEP_HOLD","","Broad family spans many screen sizes, CPUs and generations; hold until family-vs-model ownership is defined."
"model-acer-predator-helios-16","model","notebook-acer","Acer Predator Helios 16","/รับซื้อ-acer-predator-helios-16-ขอนแก่น/","INDEX","RELEASE","","Predator Helios 16 is distinct from Helios Neo 16 and supports separate high-value inspection intent."
"model-acer-aspire-3","model","notebook-acer","Acer Aspire 3","/รับซื้อ-acer-aspire-3-ขอนแก่น/","HOLD_NOINDEX","KEEP_HOLD","","Aspire 3 is a very broad multi-generation budget family; dedicated page risks thin/generic content without exact family strategy."
"model-acer-aspire-5","model","notebook-acer","Acer Aspire 5","/รับซื้อ-acer-aspire-5-ขอนแก่น/","HOLD_NOINDEX","KEEP_HOLD","","Aspire 5 spans many generations and configurations; keep noindex until model-code ownership and unique content are strong enough."
"model-acer-swift-go-14","model","notebook-acer","Acer Swift Go 14","/รับซื้อ-acer-swift-go-14-ขอนแก่น/","INDEX","RELEASE","","Swift Go 14 has a coherent 14-inch family intent and can be differentiated by generation/SKU checks."
"model-hp-victus-15","model","notebook-hp-dell-msi","HP Victus 15","/รับซื้อ-hp-victus-15-ขอนแก่น/","INDEX","RELEASE","","15-inch Victus intent is distinct from live Victus 16 and can support separate size/SKU inspection guidance."
