slug,path,h1,title,price_intent,categories,source
"วิธีเช็กรุ่นโน้ตบุ๊กก่อนขาย","/บทความ/วิธีเช็กรุ่นโน้ตบุ๊กก่อนขาย/","วิธีเช็กรุ่นโน้ตบุ๊กก่อนขายให้รู้รุ่นตรง","วิธีเช็กรุ่นโน้ตบุ๊กก่อนขาย ดู Model Code ให้ตรงก่อนประเมิน | WINNER IT","false","notebook","https://support.microsoft.com/en-us/windows/experience/find-information-about-your-windows-device"
"วิธีดูสเปกโน้ตบุ๊กก่อนประเมิน","/บทความ/วิธีดูสเปกโน้ตบุ๊กก่อนประเมิน/","วิธีดูสเปกโน้ตบุ๊กก่อนส่งประเมินราคา","วิธีดูสเปกโน้ตบุ๊กก่อนส่งประเมิน CPU RAM SSD GPU ดูตรงไหน | WINNER IT","false","notebook","https://support.microsoft.com/en-us/windows/experience/find-information-about-your-windows-device"
"วิธีเช็กสุขภาพแบตโน้ตบุ๊ก","/บทความ/วิธีเช็กสุขภาพแบตโน้ตบุ๊ก/","วิธีเช็กสุขภาพแบตโน้ตบุ๊กก่อนขาย","วิธีเช็กสุขภาพแบตโน้ตบุ๊กก่อนขายด้วย Battery Report | WINNER IT","false","notebook","https://support.microsoft.com/en-US/Windows/Experience/Power-Battery/caring-for-your-battery-in-windows"
"โน้ตบุ๊กไม่มีกล่องราคาตกไหม","/บทความ/โน้ตบุ๊กไม่มีกล่องราคาตกไหม/","โน้ตบุ๊กไม่มีกล่องราคาตกไหม","โน้ตบุ๊กไม่มีกล่อง ราคาตกไหม? สิ่งไหนมีผลมากกว่ากล่อง | WINNER IT","true","notebook","https://support.microsoft.com/en-us/windows/experience/find-information-about-your-windows-device"
"วิธีเตรียม-macbook-ก่อนขาย","/บทความ/วิธีเตรียม-macbook-ก่อนขาย/","วิธีเตรียม MacBook ก่อนขายอย่างปลอดภัย","วิธีเตรียม MacBook ก่อนขาย สำรองข้อมูล ออกจากบัญชี และลบเครื่อง | WINNER IT","false","macbook","https://support.apple.com/en-us/102773"
"วิธีดู-cycle-count-macbook","/บทความ/วิธีดู-cycle-count-macbook/","วิธีดู Cycle Count ของ MacBook ก่อนขาย","วิธีดู Cycle Count MacBook ก่อนขาย ดูตรงไหนและแปลผลอย่างไร | WINNER IT","false","macbook","https://support.apple.com/en-au/102888"
"macbook-ไม่มีที่ชาร์จราคาตกไหม","/บทความ/macbook-ไม่มีที่ชาร์จราคาตกไหม/","MacBook ไม่มีที่ชาร์จราคาตกไหม","MacBook ไม่มีที่ชาร์จ ราคาตกไหม? ดูรุ่นหัวชาร์จและกำลังวัตต์ก่อน | WINNER IT","true","macbook","https://support.apple.com/en-us/109509"
"วิธีปลด-find-my-mac-ก่อนขาย","/บทความ/วิธีปลด-find-my-mac-ก่อนขาย/","วิธีปิด Find My Mac ก่อนขาย","วิธีปิด Find My Mac ก่อนขาย เพื่อเอา Activation Lock ออก | WINNER IT","false","macbook","https://support.apple.com/en-ca/guide/icloud/mmdc23b125f6/1.0"
"วิธีเช็ก-iphone-ก่อนขาย","/บทความ/วิธีเช็ก-iphone-ก่อนขาย/","วิธีเช็ก iPhone ก่อนขายให้ข้อมูลครบ","วิธีเช็ก iPhone ก่อนขาย ดูรุ่น ความจุ แบต ชิ้นส่วน และล็อกบัญชี | WINNER IT","false","iphone","https://support.apple.com/th-th/102658"
"วิธีดู-battery-health-iphone","/บทความ/วิธีดู-battery-health-iphone/","วิธีดู Battery Health ของ iPhone ก่อนขาย","วิธีดู Battery Health iPhone ก่อนขาย และต้องดูอะไรเพิ่ม | WINNER IT","false","iphone","https://support.apple.com/en-gb/103269"
"iphone-จอเปลี่ยนราคาตกไหม","/บทความ/iphone-จอเปลี่ยนราคาตกไหม/","iPhone เคยเปลี่ยนจอมีผลกับราคาไหม","iPhone เคยเปลี่ยนจอ ราคาตกไหม? เช็ก Parts and Service History ก่อนขาย | WINNER IT","true","iphone","https://support.apple.com/th-th/102658"
"วิธีเตรียม-ipad-ก่อนขาย","/บทความ/วิธีเตรียม-ipad-ก่อนขาย/","วิธีเตรียม iPad ก่อนขายอย่างปลอดภัย","วิธีเตรียม iPad ก่อนขาย สำรองข้อมูล ปิด Find My และลบเครื่อง | WINNER IT","false","ipad-tablet","https://support.apple.com/th-th/109511"
"ipad-cellular-vs-wifi-ราคามือสอง","/บทความ/ipad-cellular-vs-wifi-ราคามือสอง/","iPad Cellular กับ Wi‑Fi ราคามือสองต่างกันอย่างไร","iPad Cellular กับ Wi‑Fi ราคามือสองต่างกันอย่างไร ดูอะไรบ้าง | WINNER IT","true","ipad-tablet","https://support.apple.com/th-th/guide/ipad/ipada92a4d12/ipados"
"วิธีเช็กสเปกคอมก่อนขาย","/บทความ/วิธีเช็กสเปกคอมก่อนขาย/","วิธีเช็กสเปกคอมก่อนขายให้ประเมินง่าย","วิธีเช็กสเปกคอมก่อนขาย CPU RAM SSD GPU และ PSU ต้องส่งอะไร | WINNER IT","false","computer","https://support.microsoft.com/en-us/windows/experience/find-information-about-your-windows-device"
"psu-มีผลต่อราคาคอมมือสองไหม","/บทความ/psu-มีผลต่อราคาคอมมือสองไหม/","PSU มีผลต่อราคาคอมมือสองไหม","PSU มีผลต่อราคาคอมมือสองไหม ดูรุ่น วัตต์ และมาตรฐานก่อนขาย | WINNER IT","true","computer","https://support.microsoft.com/en-US/Windows/experience/system-configuration-tools-in-windows"
"วิธีเช็กการ์ดจอก่อนขาย","/บทความ/วิธีเช็กการ์ดจอก่อนขาย/","วิธีเช็กการ์ดจอก่อนขายก่อนส่งประเมิน","วิธีเช็กการ์ดจอก่อนขาย ดูรุ่น VRAM ภาพออก พัดลม และอาการ Artifact | WINNER IT","false","gpu","https://support.microsoft.com/en-US/Windows/Hardware/Display-Graphics/which-version-of-directx-is-on-your-pc"
"การ์ดจอไม่มีประกันราคาตกไหม","/บทความ/การ์ดจอไม่มีประกันราคาตกไหม/","การ์ดจอไม่มีประกันราคาตกไหม","การ์ดจอไม่มีประกัน ราคาตกไหม? ดูสภาพและผลเทสอะไรเพิ่ม | WINNER IT","true","gpu","https://support.microsoft.com/en-US/Windows/Hardware/Display-Graphics/which-version-of-directx-is-on-your-pc"
"วิธีเช็กกล้องก่อนขาย","/บทความ/วิธีเช็กกล้องก่อนขาย/","วิธีเช็กกล้องก่อนขายก่อนส่งประเมิน","วิธีเช็กกล้องก่อนขาย เซ็นเซอร์ ชัตเตอร์ จอ EVF เลนส์ และอุปกรณ์ | WINNER IT","false","camera","https://www.nikonusa.com/content/support"
"วิธีเตรียม-ps5-ก่อนขาย","/บทความ/วิธีเตรียม-ps5-ก่อนขาย/","วิธีเตรียม PS5 ก่อนขายอย่างปลอดภัย","วิธีเตรียม PS5 ก่อนขาย สำรองข้อมูล ลบบัญชี และ Reset ให้ถูกขั้นตอน | WINNER IT","false","game-console","https://www.playstation.com/th-th/support/hardware/transfer-dispose-console/"
"dead-pixel-มีผลต่อราคาจอไหม","/บทความ/dead-pixel-มีผลต่อราคาจอไหม/","Dead Pixel มีผลต่อราคาจอมือสองอย่างไร","Dead Pixel มีผลต่อราคาจอมือสองไหม? วิธีเช็กก่อนขาย | WINNER IT","true","monitor","https://www.dell.com/support/kbdoc/en-us/000126004/dell-display-pixel-guidelines"
