slug,path,area,distance_km,corridor,categories,h1,title,sources
"ban-haet","/รับซื้อไอที-บ้านแฮด/","บ้านแฮด","18","โซนใต้ใกล้เมืองและแนวถนนมิตรภาพ","notebook|computer|monitor|iphone|bulk-buyout","รับซื้อสินค้าไอที บ้านแฮด ขอนแก่น นัดรับตามรอบพื้นที่","รับซื้อสินค้าไอที บ้านแฮด ขอนแก่น นัดรับตามรอบ | WINNER IT","https://khonkaen.go.th/khonkaen6/inc/t_journey.php|https://khonkaen.go.th/khonkaen6/inc/data_struct.inc.php"
"ban-fang","/รับซื้อไอที-บ้านฝาง/","บ้านฝาง","22","ฝั่งตะวันตกของเมืองและเส้นทางออกไปโซนหนองเรือ","notebook|iphone|computer|ipad-tablet|monitor","รับซื้อสินค้าไอที บ้านฝาง ขอนแก่น นัดรับตามรอบพื้นที่","รับซื้อสินค้าไอที บ้านฝาง ขอนแก่น นัดรับตามรอบ | WINNER IT","https://khonkaen.go.th/khonkaen6/inc/t_journey.php|https://khonkaen.go.th/khonkaen6/inc/data_struct.inc.php"
"phra-yuen","/รับซื้อไอที-พระยืน/","พระยืน","30","โซนใต้ของเมืองและแนวเชื่อมพื้นที่ลุ่มน้ำชี","notebook|computer|smartphone|monitor|bulk-buyout","รับซื้อสินค้าไอที พระยืน ขอนแก่น นัดรับตามรอบพื้นที่","รับซื้อสินค้าไอที พระยืน ขอนแก่น นัดรับตามรอบ | WINNER IT","https://khonkaen.go.th/khonkaen6/inc/t_journey.php|https://khonkaen.go.th/khonkaen6/inc/data_struct.inc.php"
"nong-ruea","/รับซื้อไอที-หนองเรือ/","หนองเรือ","45","เส้นทางตะวันตก เชื่อมตัวเมืองไปชุมแพ/ภูเวียง","notebook|computer|iphone|gpu|bulk-buyout","รับซื้อสินค้าไอที หนองเรือ ขอนแก่น นัดรับตามรอบพื้นที่","รับซื้อสินค้าไอที หนองเรือ ขอนแก่น นัดรับตามรอบ | WINNER IT","https://khonkaen.go.th/khonkaen6/inc/t_journey.php|https://khonkaen.go.th/khonkaen6/inc/data_struct.inc.php"
"ubolratana","/รับซื้อไอที-อุบลรัตน์/","อุบลรัตน์","50","โซนน้ำพองตอนบนและพื้นที่รอบอำเภออุบลรัตน์","notebook|computer|smartphone|camera|bulk-buyout","รับซื้อสินค้าไอที อุบลรัตน์ ขอนแก่น นัดรับตามรอบพื้นที่","รับซื้อสินค้าไอที อุบลรัตน์ ขอนแก่น นัดรับตามรอบ | WINNER IT","https://khonkaen.go.th/khonkaen6/inc/t_journey.php|https://khonkaen.go.th/khonkaen6/inc/data_struct.inc.php"
"chonnabot","/รับซื้อไอที-ชนบท/","ชนบท","55","โซนใต้ เชื่อมบ้านไผ่และมัญจาคีรี","notebook|computer|monitor|smartphone|bulk-buyout","รับซื้อสินค้าไอที ชนบท ขอนแก่น นัดรับตามรอบพื้นที่","รับซื้อสินค้าไอที ชนบท ขอนแก่น นัดรับตามรอบ | WINNER IT","https://khonkaen.go.th/khonkaen6/inc/t_journey.php|https://khonkaen.go.th/khonkaen6/inc/data_struct.inc.php"
"mancha-khiri","/รับซื้อไอที-มัญจาคีรี/","มัญจาคีรี","58","โซนตะวันตกเฉียงใต้ เชื่อมบ้านไผ่/ชนบท","notebook|computer|iphone|monitor|bulk-buyout","รับซื้อสินค้าไอที มัญจาคีรี ขอนแก่น นัดรับตามรอบพื้นที่","รับซื้อสินค้าไอที มัญจาคีรี ขอนแก่น นัดรับตามรอบ | WINNER IT","https://khonkaen.go.th/khonkaen6/inc/t_journey.php|https://khonkaen.go.th/khonkaen6/inc/data_struct.inc.php"
"khao-suan-kwang","/รับซื้อไอที-เขาสวนกวาง/","เขาสวนกวาง","59","โซนเหนือ เชื่อมน้ำพองและเส้นทางขึ้นอุดรธานี","notebook|computer|smartphone|monitor|bulk-buyout","รับซื้อสินค้าไอที เขาสวนกวาง ขอนแก่น นัดรับตามรอบพื้นที่","รับซื้อสินค้าไอที เขาสวนกวาง ขอนแก่น นัดรับตามรอบ | WINNER IT","https://khonkaen.go.th/khonkaen6/inc/t_journey.php|https://khonkaen.go.th/khonkaen6/inc/data_struct.inc.php"
"kranuan","/รับซื้อไอที-กระนวน/","กระนวน","66","โซนตะวันออกเฉียงเหนือและจุดรวมรอบของพื้นที่ใกล้เคียง","notebook|computer|iphone|gpu|bulk-buyout","รับซื้อสินค้าไอที กระนวน ขอนแก่น นัดรับตามรอบพื้นที่","รับซื้อสินค้าไอที กระนวน ขอนแก่น นัดรับตามรอบ | WINNER IT","https://khonkaen.go.th/khonkaen6/inc/t_journey.php|https://khonkaen.go.th/khonkaen6/inc/data_struct.inc.php"
"phu-wiang","/รับซื้อไอที-ภูเวียง/","ภูเวียง","68","โซนตะวันตก เชื่อมหนองเรือและพื้นที่ภูเวียง","notebook|computer|smartphone|camera|bulk-buyout","รับซื้อสินค้าไอที ภูเวียง ขอนแก่น นัดรับตามรอบพื้นที่","รับซื้อสินค้าไอที ภูเวียง ขอนแก่น นัดรับตามรอบ | WINNER IT","https://khonkaen.go.th/khonkaen6/inc/t_journey.php|https://khonkaen.go.th/khonkaen6/inc/data_struct.inc.php"
