slug,path,h1,title,category,brand,source
"asus-rog-scar-16","/รับซื้อ-asus-rog-scar-16-ขอนแก่น/","รับซื้อ ASUS ROG Strix SCAR 16 ขอนแก่น","รับซื้อ ASUS ROG Strix SCAR 16 ขอนแก่น เช็ก G634/G635 GPU จอและประกัน | WINNER IT","notebook","asus","https://rog.asus.com/us/laptops/rog-strix/rog-strix-scar-16-2025/spec/"
"asus-rog-scar-18","/รับซื้อ-asus-rog-scar-18-ขอนแก่น/","รับซื้อ ASUS ROG Strix SCAR 18 ขอนแก่น","รับซื้อ ASUS ROG Strix SCAR 18 ขอนแก่น เช็ก G834/G835 จอ 18 นิ้ว GPU | WINNER IT","notebook","asus","https://rog.asus.com/laptops/rog-strix/rog-strix-scar-18-2025/spec/"
"asus-tuf-gaming-f15","/รับซื้อ-asus-tuf-gaming-f15-ขอนแก่น/","รับซื้อ ASUS TUF Gaming F15 ขอนแก่น","รับซื้อ ASUS TUF Gaming F15 ขอนแก่น เช็ก FX506/FX507 Intel RTX และจอ | WINNER IT","notebook","asus","https://www.asus.com/us/laptops/for-gaming/tuf-gaming/asus-tuf-gaming-f15-2023/techspec/"
"lenovo-legion-5i","/รับซื้อ-lenovo-legion-5i-ขอนแก่น/","รับซื้อ Lenovo Legion 5i ขอนแก่น","รับซื้อ Lenovo Legion 5i ขอนแก่น เช็ก 16IRX9 Intel RTX และ MTM | WINNER IT","notebook","lenovo","https://psref.lenovo.com/Product/Legion/Legion_5_16IRX9?MT=83EW"
"lenovo-legion-pro-7","/รับซื้อ-lenovo-legion-pro-7-ขอนแก่น/","รับซื้อ Lenovo Legion Pro 7 ขอนแก่น","รับซื้อ Lenovo Legion Pro 7 ขอนแก่น เช็ก 16IRX9H RTX 4080/4090 และจอ | WINNER IT","notebook","lenovo","https://psref.lenovo.com/syspool/Sys/PDF/Legion/Legion_Pro_7_16IRX9H/Legion_Pro_7_16IRX9H_Spec.pdf"
"acer-predator-helios-16","/รับซื้อ-acer-predator-helios-16-ขอนแก่น/","รับซื้อ Acer Predator Helios 16 ขอนแก่น","รับซื้อ Acer Predator Helios 16 ขอนแก่น เช็ก PH16 รุ่นจอ GPU และประกัน | WINNER IT","notebook","acer","https://www.acer.com/ph-en/predator/laptops/helios/helios-16/pdp/NH.QNXSP.004"
"acer-swift-go-14","/รับซื้อ-acer-swift-go-14-ขอนแก่น/","รับซื้อ Acer Swift Go 14 ขอนแก่น","รับซื้อ Acer Swift Go 14 ขอนแก่น เช็ก SFG14 OLED/Core Ultra และแบต | WINNER IT","notebook","acer","https://www.acer.com/ph-en/laptops/swift/swift-go/pdp/NX.KSGSP.001"
"msi-raider-ge68","/รับซื้อ-msi-raider-ge68-ขอนแก่น/","รับซื้อ MSI Raider GE68 ขอนแก่น","รับซื้อ MSI Raider GE68 HX ขอนแก่น เช็ก 13V/14V GPU จอและอะแดปเตอร์ | WINNER IT","notebook","msi","https://www.msi.com/Laptop/Raider-GE68-HX-14VX/Specification"
"iphone-14-plus","/รับซื้อ-iphone-14-plus-ขอนแก่น/","รับซื้อ iPhone 14 Plus ขอนแก่น","รับซื้อ iPhone 14 Plus ขอนแก่น เช็ก 128/256/512GB แบต จอและอะไหล่ | WINNER IT","iphone","","https://support.apple.com/en-ph/111854"
"iphone-15-plus","/รับซื้อ-iphone-15-plus-ขอนแก่น/","รับซื้อ iPhone 15 Plus ขอนแก่น","รับซื้อ iPhone 15 Plus ขอนแก่น เช็ก USB-C แบต จอและประวัติอะไหล่ | WINNER IT","iphone","","https://support.apple.com/en-asia/111830"
"iphone-16","/รับซื้อ-iphone-16-ขอนแก่น/","รับซื้อ iPhone 16 ขอนแก่น","รับซื้อ iPhone 16 ขอนแก่น เช็ก A18 128/256/512GB แบตและกล้อง | WINNER IT","iphone","","https://support.apple.com/en-ph/121029"
"iphone-16-plus","/รับซื้อ-iphone-16-plus-ขอนแก่น/","รับซื้อ iPhone 16 Plus ขอนแก่น","รับซื้อ iPhone 16 Plus ขอนแก่น เช็ก 6.7 นิ้ว A18 แบตและกล้อง | WINNER IT","iphone","","https://support.apple.com/en-euro/121030"
"ipad-air-m2-13","/รับซื้อ-ipad-air-m2-13-ขอนแก่น/","รับซื้อ iPad Air M2 13-inch ขอนแก่น","รับซื้อ iPad Air M2 13 นิ้ว ขอนแก่น เช็ก Wi‑Fi/Cellular ความจุ จอและ Pencil | WINNER IT","ipad-tablet","","https://support.apple.com/th-th/119893"
"ipad-pro-m4-13","/รับซื้อ-ipad-pro-m4-13-ขอนแก่น/","รับซื้อ iPad Pro M4 13-inch ขอนแก่น","รับซื้อ iPad Pro M4 13 นิ้ว ขอนแก่น เช็ก OLED 256GB–2TB Cellular และจอ | WINNER IT","ipad-tablet","","https://support.apple.com/th-th/119891"
"ipad-mini-a17-pro","/รับซื้อ-ipad-mini-a17-pro-ขอนแก่น/","รับซื้อ iPad mini A17 Pro ขอนแก่น","รับซื้อ iPad mini A17 Pro ขอนแก่น เช็ก 128/256/512GB Cellular และ Pencil | WINNER IT","ipad-tablet","","https://support.apple.com/en-mide/121456"
"rtx-3090","/รับซื้อ-rtx-3090-ขอนแก่น/","รับซื้อ GeForce RTX 3090 ขอนแก่น","รับซื้อ GeForce RTX 3090 ขอนแก่น 24GB GDDR6X เช็กหัวไฟ พัดลมและประกัน | WINNER IT","gpu","","https://www.nvidia.com/th-th/geforce/graphics-cards/30-series/rtx-3090-3090ti/"
"rtx-4080","/รับซื้อ-rtx-4080-ขอนแก่น/","รับซื้อ GeForce RTX 4080 ขอนแก่น","รับซื้อ GeForce RTX 4080 ขอนแก่น 16GB GDDR6X เช็ก 12VHPWR และประกัน | WINNER IT","gpu","","https://www.nvidia.com/th-th/geforce/graphics-cards/40-series/rtx-4080-family/"
"rtx-4090","/รับซื้อ-rtx-4090-ขอนแก่น/","รับซื้อ GeForce RTX 4090 ขอนแก่น","รับซื้อ GeForce RTX 4090 ขอนแก่น 24GB GDDR6X เช็กหัวไฟ พัดลมและประกัน | WINNER IT","gpu","","https://www.nvidia.com/th-th/geforce/graphics-cards/40-series/rtx-4090/"
