id,type,path,label,decision,lifecycle
"model-lenovo-legion-7","model","/รับซื้อ-lenovo-legion-7-ขอนแก่น/","Lenovo Legion 7","KEEP_HOLD","HOLD_NOINDEX"
"model-lenovo-ideapad-slim-5","model","/รับซื้อ-lenovo-ideapad-slim-5-ขอนแก่น/","Lenovo IdeaPad Slim 5","KEEP_HOLD","HOLD_NOINDEX"
"model-acer-aspire-3","model","/รับซื้อ-acer-aspire-3-ขอนแก่น/","Acer Aspire 3","KEEP_HOLD","HOLD_NOINDEX"
"model-acer-aspire-5","model","/รับซื้อ-acer-aspire-5-ขอนแก่น/","Acer Aspire 5","KEEP_HOLD","HOLD_NOINDEX"
"model-hp-elitebook-840","model","/รับซื้อ-hp-elitebook-840-ขอนแก่น/","HP EliteBook 840","KEEP_HOLD","HOLD_NOINDEX"
"model-hp-probook-440","model","/รับซื้อ-hp-probook-440-ขอนแก่น/","HP ProBook 440","KEEP_HOLD","HOLD_NOINDEX"
"model-dell-xps-13","model","/รับซื้อ-dell-xps-13-ขอนแก่น/","Dell XPS 13","KEEP_HOLD","HOLD_NOINDEX"
"model-msi-modern-14","model","/รับซื้อ-msi-modern-14-ขอนแก่น/","MSI Modern 14","KEEP_HOLD","HOLD_NOINDEX"
"guide-โน้ตบุ๊กบานพับแตกประเมินยังไง","guide","/บทความ/โน้ตบุ๊กบานพับแตกประเมินยังไง/","โน้ตบุ๊กบานพับแตกประเมินอย่างไร","MERGE","HOLD_NOINDEX"
"guide-iphone-ฝาหลังแตกขายได้ไหม","guide","/บทความ/iphone-ฝาหลังแตกขายได้ไหม/","iPhone ฝาหลังแตกขายได้ไหม","MERGE","HOLD_NOINDEX"
"guide-iphone-ติดผ่อนตรวจยังไง","guide","/บทความ/iphone-ติดผ่อนตรวจยังไง/","วิธีตรวจสถานะเครื่องก่อนขาย iPhone","KEEP_HOLD","HOLD_NOINDEX"
"guide-วิธีเช็ก-ipad-งอ","guide","/บทความ/วิธีเช็ก-ipad-งอ/","วิธีเช็ก iPad ว่าเครื่องงอหรือไม่","MERGE","HOLD_NOINDEX"
"guide-การ์ดจอพัดลมดังประเมินยังไง","guide","/บทความ/การ์ดจอพัดลมดังประเมินยังไง/","การ์ดจอพัดลมดังประเมินอย่างไร","MERGE","HOLD_NOINDEX"
"guide-ขายไอทีมือสองต้องมีใบเสร็จไหม","guide","/บทความ/ขายไอทีมือสองต้องมีใบเสร็จไหม/","ขายสินค้าไอทีมือสองต้องมีใบเสร็จไหม","KEEP_HOLD","HOLD_NOINDEX"
