id,path,type,cluster,label,lifecycle,parent,directory,required_sections
hub-products,/สินค้าที่รับซื้อ/,hub,master-product,สินค้าที่รับซื้อ,INDEX,/,,บทนำของ Hub | หมวดหลัก | เส้นทางไป Brand/Model | คำแนะนำก่อนประเมิน
hub-brands-models,/ยี่ห้อและรุ่นที่รับซื้อ/,hub,master-model,ยี่ห้อและรุ่นที่รับซื้อ,INDEX,/สินค้าที่รับซื้อ/,,Brand index | Series index | Model discovery | ลิงก์กลับ Money Pages
hub-b2b,/รับซื้อยกล็อต-บริษัท/,hub,b2b,รับซื้อยกล็อตและทรัพย์สินไอทีบริษัท,INDEX,/รับเหมาอุปกรณ์ไอที-ขอนแก่น/,,กลุ่มลูกค้าองค์กร | ประเภททรัพย์สิน | เอกสาร | ขั้นตอนประเมินล็อต
hub-price,/ศูนย์ข้อมูลราคา/,hub,price,ศูนย์ข้อมูลราคารับซื้อสินค้าไอที,INDEX,/บทความ/,,หลักการประเมินราคา | ราคาแยกตามหมวด | ปัจจัยหักราคา | ลิงก์คู่มือราคา
model-asus-rog-zephyrus-g14,/รับซื้อ-asus-rog-zephyrus-g14-ขอนแก่น/,model,notebook-asus,ASUS ROG Zephyrus G14,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-asus-rog-zephyrus-g16,/รับซื้อ-asus-rog-zephyrus-g16-ขอนแก่น/,model,notebook-asus,ASUS ROG Zephyrus G16,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-asus-rog-strix-g16,/รับซื้อ-asus-rog-strix-g16-ขอนแก่น/,model,notebook-asus,ASUS ROG Strix G16,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-asus-rog-strix-g18,/รับซื้อ-asus-rog-strix-g18-ขอนแก่น/,model,notebook-asus,ASUS ROG Strix G18,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-asus-rog-scar-16,/รับซื้อ-asus-rog-scar-16-ขอนแก่น/,model,notebook-asus,ASUS ROG Strix SCAR 16,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-asus-rog-scar-18,/รับซื้อ-asus-rog-scar-18-ขอนแก่น/,model,notebook-asus,ASUS ROG Strix SCAR 18,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
