Slot ID,Priority,URL,Page type,Section,Component,Current content,Current visual type,Image needed,Image purpose,Recommended source type,Real photo required,AI allowed,Evidence risk,Recommended subject,Orientation,Aspect ratio,Desktop rendered width,Mobile rendered width,Recommended master size,Recommended responsive widths,Recommended format,Maximum file size,Loading strategy,Fetch priority,Object fit,Object position,Alt strategy,Caption required,Structured data relevance,Reuse policy,Notes
HOM-HERO-01,P0,/,Homepage,Hero,hero__panel,Category text panel,CSS panel,Yes,Human trust and explain inspection service,Real Business Evidence,Yes,No,High,Real staff inspecting mixed IT equipment without customer data,Landscape,3:2,480px,345px,1600x1067,"480|768|1024|1280|1600",AVIF+WebP,150KB,eager,high,cover,center center,Describe visible inspection action,Yes,Organization image candidate,Homepage only,Use picture art direction; mobile 4:3 crop; never fake Khon Kaen storefront
HOM-TRUST-01,P0,/,Homepage,Trust,trust-card,Illustration PNG,PNG illustration,Yes,Prove real inspection process,Real Business Evidence,Yes,No,High,Hands checking notebook ports and condition,Landscape,4:3,329px,345px,1200x900,"480|768|1024",AVIF+WebP,110KB,lazy,auto,cover,center,Describe ports and inspection action,Yes,No,May reuse on notebook category once,Replace 917KB PNG
HOM-TRUST-02,P0,/,Homepage,Trust,trust-card,Illustration PNG,PNG illustration,Yes,Show actual inventory breadth,Original Product Photography,Yes,No,Medium,Owned mixed devices on clean inspection table,Landscape,4:3,329px,345px,1200x900,"480|768|1024",AVIF+WebP,110KB,lazy,auto,cover,center,Describe actual device group,Yes,No,Homepage and category index only,No serial/account data; replace 806KB PNG
HOM-TRUST-03,P1,/,Homepage,Trust,trust-card,Payment SVG,Inline SVG,No,Explain payment step,Icon or SVG Illustration,No,Yes,Low,Consistent payment handoff icon,Square,1:1,96px,96px,256x256,"96|192",SVG,15KB,lazy,auto,contain,center,Decorative alt empty unless meaning not in adjacent text,No,No,Global process icon set,Keep vector and align accessibility semantics
HOM-CAT-01,P1,/,Homepage,Category grid,category cards,Emoji and text,Emoji,Yes,Improve scanability without 12 heavy requests,Original Product Photography,Yes,No,Medium,Single controlled mixed-category contact sheet,Landscape,4:3,380px,345px,1200x900,"480|768|1024",AVIF+WebP,100KB,lazy,auto,cover,center,Describe visible category group,No,No,One shared strip not 12 photos,Prefer one collage or sprite-like editorial strip; do not add 12 raster requests
HOM-PROC-01,P1,/,Homepage,Process,steps,Numbered text cards,CSS cards,Yes,Explain three-stage service,Icon or SVG Illustration,No,Yes,Low,Send details inspect agree and pay sequence,Landscape,3:1,900px,345px,1440x480,"480|768|1024|1440",SVG,35KB,lazy,auto,contain,center,Alt empty if adjacent labels contain all information,No,HowTo only if page schema and content match,Reusable globally,Do not depict fake staff or transaction
HOM-AREA-01,P1,/,Homepage,Service area,area section,Text list,None,Yes,Clarify coverage without location claims,AI Illustration,No,Yes,Medium,Abstract Khon Kaen province service-area diagram no storefront pins,Landscape,16:9,620px,345px,1280x720,"480|768|1024|1280",SVG or WebP,80KB,lazy,auto,contain,center,Describe coverage diagram not service history,Yes,No,Homepage and service-area index,Label as service coverage graphic
HOM-PRICE-01,NO-IMAGE,/,Homepage,Pricing,price factors,Text list,None,No,Preserve decision clarity,No Image,No,No,Low,None,None,None,0,0,None,None,None,0,None,None,None,None,No alt,No,No,None,Tables and factors communicate better than imagery
HOM-FAQ-01,NO-IMAGE,/,Homepage,FAQ,details,Accordion,None,No,Avoid distraction and requests,No Image,No,No,Low,None,None,None,0,0,None,None,None,0,None,None,None,None,No alt,No,No,None,Only add a diagram if it answers a specific complex question
HOM-CTA-01,P1,/,Homepage,Final CTA,cta box,Text CTA,CSS panel,No,Protect conversion clarity,No Image,No,No,Low,None,None,None,0,0,None,None,None,0,None,None,None,None,No alt,No,No,None,Use color and spacing; do not add decorative stock photo
CAT-HERO-01,P1,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,Category,Hero,cat-hero,Emoji and copy,Emoji,Yes,Show product class and inspection context,Original Product Photography,Yes,No,Medium,Original notebook on inspection mat,Landscape,3:2,420px,345px,1400x933,"480|768|1024|1280",AVIF+WebP,130KB,eager,high,contain,center,Describe notebook and visible condition,No,Product/Service image candidate,Category hero only,Desktop split; mobile 4:3 crop below heading
CAT-CARDS-01,P1,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,Category,Model links,cluster cards,Text cards,None,No,Avoid many requests,Icon or SVG Illustration,No,Yes,Low,Unified category glyph,Square,1:1,40px,40px,96x96,96,SVG,8KB,lazy,auto,contain,center,Decorative alt empty,No,No,Reusable within category,Do not thumbnail every text link
CAT-PROC-01,P1,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,Category,Inspection factors,content section,Long text,None,Yes,Teach product-specific checks,Real Business Evidence,Yes,No,Medium,Notebook screen keyboard ports battery check,Landscape,3:2,760px,345px,1600x1067,"480|768|1024|1280",AVIF+WebP,140KB,lazy,auto,cover,center,Describe actual checks visible,Yes,No,Notebook cluster reuse,Hide serial and customer data
BRD-HERO-01,P2,/รับซื้อ-asus-ขอนแก่น/,Brand,Hero,cat-hero,Text and emoji,Emoji,Optional,Brand recognition without trademark misuse,Original Product Photography,Yes,No,Medium,Original mixed ASUS laptops owned or licensed,Landscape,3:2,420px,345px,1400x933,"480|768|1024|1280",AVIF+WebP,120KB,eager,high,contain,center,Describe products without unsupported model claim,No,Product image candidate,Brand cluster only,Logo optional only under brand guideline; record license
MOD-HERO-01,P1,/รับซื้อ-macbook-pro-ขอนแก่น/,Model,Hero,cat-hero,Text and emoji,Emoji,Yes,Match model intent,Original Product Photography,Yes,No,High,Exact MacBook Pro family represented by copy,Landscape,3:2,420px,345px,1400x933,"480|768|1024|1280",AVIF+WebP,120KB,eager,high,contain,center,State visible model family only,No,Product image candidate,Exact-model pages only,Never substitute MacBook Air or wrong generation
COND-HERO-01,P1,/จอแตกขายได้ไหม/,Condition,Hero,cat-hero,Text and icon,Emoji,Yes,Help users identify condition,Original Product Photography,Yes,No,High,Real cracked display photographed safely,Landscape,4:3,420px,345px,1200x900,"480|768|1024",AVIF+WebP,110KB,eager,high,cover,center,Describe crack pattern without exaggeration,Yes,No,Condition and related article,No fabricated damage; avoid unsafe swollen battery handling
COND-INLINE-01,P1,/แบตบวมขายได้ไหม/,Condition,Safety explanation,article body,Text,None,Yes,Safety education,Original Product Photography,Yes,No,High,Real swollen battery warning signs without handling,Landscape,4:3,760px,345px,1400x1050,"480|768|1024|1280",AVIF+WebP,130KB,lazy,auto,cover,center,Describe visible warning signs,Yes,No,Condition/article reuse,Must include safety caption and controlled setup
LOCAL-MAP-01,P1,/พื้นที่ให้บริการ/,Local index,Area overview,legal content,Text list,None,Yes,Explain service coverage,AI Illustration,No,Yes,Medium,Abstract province coverage map with district labels,Landscape,4:3,720px,345px,1400x1050,"480|768|1024|1280",SVG,90KB,lazy,auto,contain,center,Describe coverage not completed jobs,Yes,No,Local index and selected local pages,No fake office or permanent staff pins
LOCAL-EVID-01,P0,/รับซื้อไอที-เมืองขอนแก่น/,Local area,Trust evidence,local-photo,Placeholder/text,None,Deferred,Prove real service only when evidence exists,Verified Transaction Evidence,Yes,No,Critical,Consented anonymized real pickup or inspection in named area,Landscape,4:3,760px,345px,1400x1050,"480|768|1024|1280",AVIF+WebP,130KB,lazy,auto,cover,center,State verified context precisely,Yes,No,Single verified local page only,DEFERRED until consent provenance and location evidence exist
LOCAL-LAND-01,NO-IMAGE,/รับซื้อไอที-ชุมแพ/,Local area,Hero,cat-hero,Local copy,None,No,Avoid false local presence,No Image,No,No,Critical,None,None,None,0,0,None,None,None,0,None,None,None,None,No alt,No,No,None,Prohibit landmark storefront staff or pickup imagery without evidence
ART-HERO-01,P1,/บทความ/วิธีลบข้อมูล-iphone-ก่อนขาย/,Article,Hero,post header,Text only,None,Yes,Clarify educational intent,AI Illustration,No,Yes,Low,Abstract iPhone data wipe and account sign-out concept,Landscape,16:9,900px,345px,1600x900,"480|768|1024|1280|1600",AVIF+WebP,150KB,eager,high,cover,center,Describe the concept without claiming a real device case,Yes,Article image,Article plus social crop,Label illustration; no Apple UI reproduction requiring exactness
ART-INLINE-01,P1,/บทความ/วิธีลบข้อมูล-iphone-ก่อนขาย/,Article,Steps,article body,Numbered text,None,Yes,Reduce cognitive load,Icon or SVG Illustration,No,Yes,Low,Find My backup sign-out erase sequence,Landscape,3:1,760px,345px,1400x467,"480|768|1024|1280",SVG,45KB,lazy,auto,contain,center,Alt empty when adjacent steps fully describe it,No,No,Reusable on related safety guide,No screenshots containing real accounts
