Asset ID,Source filename,Source path,Extension,Width,Height,Aspect ratio,File size,Intended image number,Intended subject,AI source type,Identity reference,Quality status,Privacy status,Visual artifact risks,Trust risk,Eligible slots,Prohibited slots,Required crop,Required edits,Final approval status,Mapping confidence,Notes
AI-01,ChatGPT Image 18 ก.ค. 2569 18_42_32.png,private-assets/image-intake/pending/ChatGPT Image 18 ก.ค. 2569 18_42_32.png,.png,1536,1024,3:2,1872718,1,เจ้าของตรวจโน้ตบุ๊ก,AI_GENERATED_WITH_REAL_IDENTITY_REFERENCE,yes,PASS,PASS,none material,high,controlled illustrative use only,HOM-HERO-01|HOM-TRUST-01|ABOUT-OWNER-01|CONTACT-TEAM-01,none,disclosure required,APPROVED_AI_ILLUSTRATION,High,ไม่ใช่เหตุการณ์จริงหรือหลักฐานธุรกิจ
AI-02,ChatGPT Image 18 ก.ค. 2569 18_47_21.png,private-assets/image-intake/pending/ChatGPT Image 18 ก.ค. 2569 18_47_21.png,.png,1122,1402,4:5,1878879,2,Portrait เจ้าของ,AI_GENERATED_WITH_REAL_IDENTITY_REFERENCE,yes,PASS,PASS,none material,critical,controlled illustrative use only,HOM-HERO-01|ABOUT-OWNER-01|CONTACT-TEAM-01,none,disclosure required,APPROVED_AI_ILLUSTRATION,High,About P0 requires real photo so retained only
AI-03,ChatGPT Image 18 ก.ค. 2569 18_49_31.png,private-assets/image-intake/pending/ChatGPT Image 18 ก.ค. 2569 18_49_31.png,.png,1672,941,16:9,1907391,3,เจ้าของร่วมตรวจงานกับทีม,AI_GENERATED_WITH_REAL_IDENTITY_REFERENCE,yes,PASS,PASS,photorealistic staged scene,high,controlled illustrative use only,HOM-HERO-01|HOM-TRUST-01|ABOUT-OWNER-01|CONTACT-TEAM-01|TXN-CASE-01,none,disclosure required,APPROVED_AI_ILLUSTRATION,High,ห้ามใช้เป็นภาพทีมงานจริง
AI-04,ChatGPT Image 18 ก.ค. 2569 18_52_38.png,private-assets/image-intake/pending/ChatGPT Image 18 ก.ค. 2569 18_52_38.png,.png,1448,1086,4:3,1964874,4,โต๊ะตรวจโน้ตบุ๊ก,AI_GENERATED_ILLUSTRATION,no,FAIL,PASS,synthetic UI and unidentified bezel mark,medium,none,all production slots,none,not safely correctable without changing subject,REJECTED_VISUAL_ARTIFACT,High,หน้าจอและตราสังเคราะห์อ่านไม่ได้
AI-05,ChatGPT Image 18 ก.ค. 2569 18_56_45.png,private-assets/image-intake/pending/ChatGPT Image 18 ก.ค. 2569 18_56_45.png,.png,1448,1086,4:3,2271024,5,เครื่องมือตรวจสินค้าไอที,AI_GENERATED_ILLUSTRATION,no,FAIL,PASS,synthetic multimeter text and symbols,medium,none,all production slots,none,not safely correctable without removing core subject,REJECTED_VISUAL_ARTIFACT,High,ข้อความเครื่องมือไม่ถูกต้อง
AI-06,ChatGPT Image 18 ก.ค. 2569 18_57_59.png,private-assets/image-intake/pending/ChatGPT Image 18 ก.ค. 2569 18_57_59.png,.png,1536,1024,3:2,2192755,6,โต๊ะตรวจสินค้าหลายประเภท,AI_GENERATED_ILLUSTRATION,no,FAIL,PASS,synthetic marks and unverifiable device geometry,medium,none,all production slots,none,not safely correctable,REJECTED_VISUAL_ARTIFACT,High,ไม่ใช้เพื่ออ้างกลุ่มสินค้าจริง
AI-07,ChatGPT Image 18 ก.ค. 2569 19_23_39.png,private-assets/image-intake/pending/ChatGPT Image 18 ก.ค. 2569 19_23_39.png,.png,1448,1086,4:3,1879958,7,ตรวจสภาพภายนอก,AI_GENERATED_ILLUSTRATION,no,PASS,PASS,photorealistic staged action,medium,HOM-PROC-01,HOM-TRUST-01|TXN-CASE-01,none,disclosure required,APPROVED_AI_ILLUSTRATION,High,เก็บใน library เพราะ process cards เดิมชัดและเบากว่า
AI-08,ChatGPT Image 18 ก.ค. 2569 19_23_45.png,private-assets/image-intake/pending/ChatGPT Image 18 ก.ค. 2569 19_23_45.png,.png,1536,1024,3:2,2100328,8,ตรวจพอร์ต,AI_GENERATED_ILLUSTRATION,no,FAIL,PASS,incorrect ports connectors and cable geometry,high,none,all production slots,none,not safely correctable,REJECTED_VISUAL_ARTIFACT,High,หัวต่อผิดรูปอย่างเห็นได้ชัด
AI-09,ChatGPT Image 18 ก.ค. 2569 19_28_44.png,private-assets/image-intake/pending/ChatGPT Image 18 ก.ค. 2569 19_28_44.png,.png,1448,1086,4:3,1927939,9,ตรวจหน้าจอและระบบ,AI_GENERATED_ILLUSTRATION,no,FAIL,PASS,screen off and blank artificial labels,medium,none,all production slots,none,not correctable without changing meaning,REJECTED_MISLEADING,High,ภาพไม่สื่อการตรวจระบบ
AI-11,ChatGPT Image 18 ก.ค. 2569 19_30_33.png,private-assets/image-intake/pending/ChatGPT Image 18 ก.ค. 2569 19_30_33.png,.png,1536,1024,3:2,2079175,11,แพ็กโน้ตบุ๊ก,AI_GENERATED_ILLUSTRATION,no,PASS,PASS,photorealistic staged action,low,article illustrative use,HOM-TRUST-01|TXN-CASE-01,none,disclosure required,APPROVED_AI_ILLUSTRATION,High,no currently approved matching slot
AI-12,ChatGPT Image 18 ก.ค. 2569 19_32_29.png,private-assets/image-intake/pending/ChatGPT Image 18 ก.ค. 2569 19_32_29.png,.png,1672,941,16:9,2128603,12,เตรียมสินค้าเพื่อขนย้าย,AI_GENERATED_ILLUSTRATION,no,FAIL,PASS,synthetic device graphic on box and evidence-like scene,high,none,all production slots,none,not safely correctable,REJECTED_MISLEADING,High,เสี่ยงถูกตีความเป็นการขนย้ายจริง
AI-13,ChatGPT Image 18 ก.ค. 2569 19_34_46.png,private-assets/image-intake/pending/ChatGPT Image 18 ก.ค. 2569 19_34_46.png,.png,1536,1024,3:2,2450732,13,ภาพประกอบพื้นที่ตรวจอุปกรณ์,AI_GENERATED_ILLUSTRATION,no,PASS,PASS,workspace could imply a real location,high,internal docs or explicitly disclosed article only,ABOUT-BASE-01|CONTACT-TEAM-01|LOCAL-EVID-01|schema location,none,workspace disclosure required,APPROVED_AI_ILLUSTRATION,High,ไม่ใช่สถานที่จริงหรือสาขาขอนแก่น
AI-14,ChatGPT Image 18 ก.ค. 2569 19_36_24.png,private-assets/image-intake/pending/ChatGPT Image 18 ก.ค. 2569 19_36_24.png,.png,1448,1086,4:3,2486209,14,ภาพประกอบพื้นที่แพ็กและจัดเก็บ,AI_GENERATED_ILLUSTRATION,no,PASS,PASS,workspace could imply a real location,high,internal docs or explicitly disclosed article only,ABOUT-BASE-01|CONTACT-TEAM-01|LOCAL-EVID-01|schema location,none,workspace disclosure required,APPROVED_AI_ILLUSTRATION,High,ไม่ใช่สถานที่จริงหรือสาขาขอนแก่น
