slug,decision,target,reason
"วิธีเช็กประกันโน้ตบุ๊ก","RELEASE","","Passed final content/intent/source/internal-link gate"
"โน้ตบุ๊กมีรอยบุบขายได้ไหม","RELEASE","","Passed final content/intent/source/internal-link gate"
"โน้ตบุ๊กจอมีเส้นราคาตกแค่ไหน","RELEASE","","Passed final content/intent/source/internal-link gate"
"วิธีเช็ก-battery-health-macbook","RELEASE","","Passed final content/intent/source/internal-link gate"
"macbook-คีย์บอร์ดอังกฤษขายได้ไหม","RELEASE","","Passed final content/intent/source/internal-link gate"
"macbook-จอเป็นรอยประเมินยังไง","RELEASE","","Passed final content/intent/source/internal-link gate"
"iphone-ไม่มีกล่องราคาตกไหม","RELEASE","","Passed final content/intent/source/internal-link gate"
"apple-pencil-เพิ่มราคาขาย-ipadไหม","RELEASE","","Passed final content/intent/source/internal-link gate"
"ขายคอมประกอบต้องส่งข้อมูลอะไร","RELEASE","","Passed final content/intent/source/internal-link gate"
"ขายคอมทั้งชุดพร้อมจอคุ้มไหม","RELEASE","","Passed final content/intent/source/internal-link gate"
"ชุดน้ำมีผลต่อราคาคอมมือสองไหม","RELEASE","","Passed final content/intent/source/internal-link gate"
"วิธีดูรุ่นการ์ดจอใน-windows","RELEASE","","Passed final content/intent/source/internal-link gate"
"การ์ดจอขุดเหมืองขายได้ไหม","RELEASE","","Passed final content/intent/source/internal-link gate"
"วิธีเทสการ์ดจอก่อนขาย","RELEASE","","Passed final content/intent/source/internal-link gate"
"โน้ตบุ๊กบานพับแตกประเมินยังไง","MERGE_OR_CONSOLIDATE","/รับซื้อโน้ตบุ๊กบานพับแตก-ขอนแก่น/","Commercial condition page already owns the exact hinge-broken intent."
"iphone-ฝาหลังแตกขายได้ไหม","MERGE_OR_CONSOLIDATE","/รับซื้อiphone-ฝาหลังแตก-ขอนแก่น/","Exact iPhone back-glass condition page already owns the commercial query."
"วิธีเช็ก-ipad-งอ","MERGE_OR_CONSOLIDATE","/รับซื้อipad-เครื่องงอ-ขอนแก่น/","Exact bent-iPad condition page already explains inspection and valuation flow."
"การ์ดจอพัดลมดังประเมินยังไง","MERGE_OR_CONSOLIDATE","/รับซื้อการ์ดจอพัดลมดัง-ขอนแก่น/","Exact noisy-GPU-fan condition page already owns this problem intent."
"iphone-ติดผ่อนตรวจยังไง","KEEP_HOLD","","Ownership/finance status cannot be reliably inferred from device settings alone; requires provider/finance-specific evidence and editorial/legal review."
"ขายไอทีมือสองต้องมีใบเสร็จไหม","KEEP_HOLD","","Receipt/ownership requirements vary by transaction and legal/business context; keep noindex until Thai legal/editorial review is complete."
